Timeline,Start time,Duration,Row,Instance number,<flag>Nouveau drapeau,Adversaire,Contexte,Date,Event,GameTime,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Period,Player,Pourcentage,Qualite,Score final,Set Play Phase,TIME PERIOD,Team,Type action,Zone,🔸 [OP] Zonal Defence,🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Def Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],Ungrouped,Notes,Flags
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,21.99014111922088,[IP2a] OP GK Connected❌,0,,,,,,00:42:42,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,53.590330076560804,[OP4a] Low Block(cross)❌❌,0,,,,,,00:43:58,,,,,,,1,,,,,,,,,,,,,,Side Overloads,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,21.5,"[IP3b] Build (4-3-3, LTriangle)❌",0,,Burnley,Contexte,20250823,,,MT 1,,Journée 2,Exterieur,105,,,,80%,-,0/2,,45+,,APlacee,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,39.31958629274959,[OP4a] Low Block(2 phases)❌❌❌⚽️,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,26.380202962448493,[OP2a] High Press MFM(v back4)✅,0,,,,,,00:00:12,,,,,,,2,,,,,"Deep, Right, Att Half",,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,20.18570286486556,Attacking Free Kick(opportunity)❌,0,,,,,,00:01:01,,,,,,,2,,,,,"Deep, Right, Att Half",,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,22.167840513483497,"[IP3b] Attacking (4-3-3, 2 phases)🚧",0,,,,,,00:01:31,,,,,,,2,,,,,,,,,,,Fast Attack,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,17.868034480176448,"Attacking Corner(R, delivery)❌",0,,,,,,00:02:12,,,,,,,2,,,,,Right,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,81.48585437561269,"[OP1c] GK Restarts (momentum shifted, multiple missed actions)❌",0,,,,,,00:02:49,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,35.12999731717673,[OP4a] Low Block(RTriangle)❌,0,,,,,,00:02:57,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,13.089924777494161,Attacking Transition (Counter Attack)❌,0,,,,,,00:03:35,,,,,,,2,,,,,,,,,,,Counter Attack,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,30.389946267320283,[OP4a] Low Block(LTriangle)❌,0,,,,,,00:03:39,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,19.709977749433165,"[IP1b] GK Restarts Direct (OS, front3, Offside)❌",0,,,,,,00:40:49,,,,,,,2,,,,,,,,,,,,,,,,,"OS: LONG, Front 3",,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,9.860082913858605,Defending Corner(L)✅,0,,,,,,00:43:05,,,,,,,2,,,,,Left,,,,,,,,,,,,,,,,Nouveau drapeau
