Timeline,Start time,Duration,Row,Instance number,<flag>.,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,22.35119073313581,"🔸🔹Offensive transition(flip the pressure, Counter-P, counter-A)✅✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,59.88021367622787,"🔹[OSP] Corner(R, short delivery, 2nd phase)❌⚠️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,22.02127308413037,"🔹🔸Defensive transition(poor intervention, Counter-A, on the edge)❌❌⚠️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,62.73340232943883,"🔹[IP3b]Progression(LTRiangle, switch, through the 9)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,22.370144487669677,"🔸[OP1b]GK Restart(quick taken, delayed reaction, foul conceded)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,24.400118886302153,"🔸[DSP] Free kick(R, 2 phases)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,37.41919971702737,"🔹[IP1a]GK Restart(OS, around, long, turnover)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,15.910092066977086,"🔸[OP2]High Press(long, 1st contact, 2nd ball)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,25.432678565352944,"🔹[IP2]Low Build-up(risky short triangle, low turnover)❌⚠️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,12.990061896530278,"🔸[DSP] Free kick(L, early step back?)✅🔍",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,28.494301485475262,"🔹[IP1a]GK Restart(OS, lonf Front3, turnover)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,38.73342059573042,"🔸[OP2]High Press(long, 2nd ball)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,38.1255160527362,🔸🔹Offensive transition(LSide fast attack)✅,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,20.650131077819424,"🔹[OSP] Corner(L, 2nd phase, shot)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,17.86855030721381,"🔸[OP1a]GK Restart(around, long)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,18.119141951494385,"🔹[IP1a]GK Restart(HBlock, delivery)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,11.95882414224161,"🔹[OSP] Throw-in(L, MZ, quick restart)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,18.196069381542657,"🔹[IP3b]Progression(switch, through the 10, lack of composure)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,12.692694181324441,"🔸[OP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,14.207303148841675,"🔹[OSP] Throw-in(L, MZ)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,32.22184247270343,"🔹[IP4]Attacking Phase(🔹[IP4]Attacking Phase(switch, LW isolted 1v1, cross deflected)✅)",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,33.96374541289515,"🔹[OSP] Corner(L, front-post delivery, counter-press beaten)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,26.33296296367098,🔹🔸Defensive transition(Counter-P)❌❌⚠️,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,17.600086612568703,"🔹[IP1a]GK Restart(OS, long, inaccurate delivery)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,23.346465423615882,"🔸[DSP] Throw-in(L, MZ, structure 4-4-2)❌🔍",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,29.620159703915306,🔸[OP3b]Mid Block(proactive press)✅⭐️,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,14.78719898196232,"🔹[OSP] Throw-in(L, MZ, 2-man)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,48.58518734606332,"🔹[IP3a]Progression(positional play, in progress)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,19.78994433616208,"🔸[DSP] Throw-in(R, HZ, long)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,13.100073163547677,"🔹[OSP] Throw-in(L, DZ, flip the pressure)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,11.979985060940635,"🔹[OSP] Throw-in(L, MZ)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,17.900102120618612,"🔹[OSP] Free kick(deep, no blocks, Counter-A)❌🔍",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,18.916793041600613,"🔸[OP1a]GK Restart(HBlock, 1st contact)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,14.293163712426576,"🔹[OSP] Throw-in(L, pattern)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,24.93981052626623,"🔹[IP4]Attacking Phase(around, RS cross)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,47.5,"🔹[IP4]Attacking Phase(RS cross, post)✅✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,22.82204853100393,"🔸[OP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,25.5,🔹[IP4]Attacking Phase(through x2)✅✅⚽️,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,15.720069809526649,"🔹[OSP] Free kick(deep, delivery)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,35.75517649281301,"🔸[OP1b]GK Restart(short, high regain)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,37.480140521829526,"🔹[IP4]Attacking Phase(high regain, cross, shot)✅✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,13.030068885190303,"🔹[OSP] Corner(L, front post)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,34.76872900976559,"🔹[OSP] Throw-in(L, HZ, long, 2 phases)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,25.38012070267723,🔹[IP2]Low Build-up(long under pressure)❌,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,25.75210641441572,"🔹[IP1b]GK Restart(around, long, 2nd ball)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,27.809143117337953,🔹[IP4]Attacking Phase(2 crosses)🚧,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,20.656301102885664,"🔸[OP1b]GK Restart(HBlock, 2 phases)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,42.33665914312587,"🔹[IP1b]GK Restart(through, IB, cross)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,30.627425046666758,"🔸[OP2]High Press(long, 2nd ball)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,23.329367858037585,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,20.85107568273088,"🔹[OSP] Throw-in(R, DZ, flip the pressure)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,24.793655292835865,"🔹[OSP] Throw-in(L, MZ, long, 2nd ball)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,45.184761384822195,🔸[OP4]Low Block(2 crosses)❌❌,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,28.642694485140964,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,10.990057301847628,"🔸[OP2]High Press(HBlock, 1st contact)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,11.710061569554455,"🔹[OSP] Free kick(deep, no blocks)❌",0,,,,,.
