Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,Ungrouped,Notes,Flags
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,26.419789446251798,"🔸[OP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,18.960122538951964,"🔹[IP1b]GK Restart(quick, around, IB)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,18.48461583279004,🔹[IP4]Attacking Phase(LTriangle)🚧,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,19.880135948639236,"🔸[OP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,17.474953218547853,"🔸[OP1a]GK Restart(HBlock, 2nd ball, composure)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,10.940052730156822,"🔹[IP1a]GK Restart(OS, around)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,19.750108208653728,"🔹[OSP] Throw-in(R, MZ, set, swicth)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,37.520150544521584,"🔹[IP3a]Progression(around, overload, IB)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,34.710249131806904,"🔸[OP1a]GK Restart(HBLock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,8.570051513626822,"🔸[DSP] Throw-in(R, HZ, long)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,29.949239086854504,"🔹[IP1b]GK Restart(around, quick)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,31.402293373917928,🔹[IP3b]Progression(connexion in the middle)🚧,0,,,,,,,,,,,,,,,,,.
