Timeline,Start time,Duration,Row,Instance number,<flag>.,<flag>Keep,Adversaire,Arthur,Assist,Bertrand,Contexte,Corner Taken,Date,Enzo,Event,GameTime,Granit,HALF TIME,Half,Journée,Lieu,MINUTE,Noah,Nordi,Pass,Period,Player,Pourcentage,Qualite,Score final,Shot Pattern of Play,Simon,TIME PERIOD,Team,Trai,Type action,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Attack the Box,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],🔹[OSP],Ungrouped,Notes,Flags
251004_ManchesterUnited_Sunderland_ANALYST,0.0,21.800617189330296,"🔸[OP3b] Mid Block(no GK, 5-4-1, strong press)✅",0,,,,,,,,,,,,00:26:22,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,16.0,"🔹[IP2a] Low Build-up(mid-range, FB in behind the winger, inaccuracy)❌",0,,,,,,,,,,,,00:26:37,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,33.10023622701556,"🔹[IP2a] Low Build-up(OS, v MFM, long, turnover)❌",0,,,,,,,,,,,,00:26:52,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,20.580131378585065,"🔸[OP4] Low Block(5-4-1, organisation to protect box edge?)🚧",0,,,,,,,,,,,,00:27:24,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,23.760223013709037,"🔹[IP1a] GK Restart(OS, v MFM, structure? Long, 2nd ball)❌",0,,,,,,,,,,,,00:27:59,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,32.01049193276776,"🔹[IP3b] Progression(no GK, 3-4-3, through, switch, turnover)🚧",0,,,,,,,,,,,,00:28:22,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,28.5,"🔸[OP1b] GK Restart (8"", OS, long, 2nd ball)❌",0,,,,,,,,,,,,00:29:16,,,,,,,,,,2,,,,,,,,,,,,,,,Direct (OS),,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,16.35008229334653,"🔸[OP2] High Press(long, IB)✅",0,,,,,,,,,,,,00:29:42,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,15.420094191214048,"🔹[OSP] Attacking Throw In(R, MZ)✅",0,,,,,,,,,,,,00:30:24,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"Right, Mid 1/3",,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,16.40009296343578,🔹[IP5] Attack the Box(LSide cross)🚧,0,,,,,,,,,,,Pass,00:30:41,,,Second Half,,,,,,"Cross, Chipped",2,Chemsdine Talbi,,,,,,,Sunderland,,,Center,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,23.850149364628123,"🔸[OP2] High Press(OS, long IB)✅",0,,,,,,,,,,,,00:31:09,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,20.061230342733325,"🔹[IP2a] Low Build-up(OS, long, 2nd ball)✅",0,,,,,,,,,,,,00:31:21,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,19.5101301617633,"🔹[IP4] Attacking Phase(3-4-3, Give & Go RSide, cross)✅✅",0,,,,,,,,,,,,00:31:49,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,24.5875820940455,"🔸[OP1a] GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,00:17:52,,,,,,,,,,2,,,,,,,,,,,,,,,Direct (HB),,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,16.019955325963565,"🔹[IP4] Attacking Phase(3-4-3, RSide, cross)✅",0,,,,,,,,,,,,00:17:26,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,11.420049982993078,🔹[IP5] Attack the Box(RSide cross)🚧,0,,,,,,,,,,,,00:17:30,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,15.080119188681238,"🔹[IP4] Attacking Phase(3-4-3, Give & Go through, shot)✅",0,,,,,,,,,,,,00:16:08,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,10.130049073129157,🔸[OP1a] GK Restart(HBlock)✅,0,,,,,,,,,,,,00:15:11,,,,,,,,,,2,,,,,,,,,,,,,,,Direct (HB),,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,21.130132901517754,"🔹[OSP] Attacking Throw In(R, MZ)❌",0,,,,,,,,,,,,00:15:22,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"Right, Mid 1/3",,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,22.68015120189648,"🔸[OP4] Low Block(5-4-1, LSIde, triangle opened)❌",0,,,,,,,,,,,,00:15:42,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
