Timeline,Start time,Duration,Row,Instance number,<flag>.,GameTime,Period,✅✅,Ungrouped,Notes,Flags
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,17.950111261709026,"🔸[OP4]Low Block(RB doesn't play the duel, cross)❌⚠️",0,,00:50:32,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,14.110081396580426,"🔸[DSP] Corner(R, 1st contact)✅",0,,00:51:11,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,37.96293584554951,"🔹[IP1a]GK Restart(OS, 6 pins, RCB steps in, inside ball to 9)✅⭐️",0,,00:51:32,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,22.5,"🔹🔸Defensive transition(long, ball out)🚧",0,,00:51:54,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,12.140081698274116,"🔸[DSP] Throw-in(R, mid zone, position 442?)✅",0,,00:52:31,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,24.00011429652932,"🔸🔹Offensive transition(C.-Attack, turnover)❌",0,,00:52:30,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,16.18009176258147,"🔹[IP3b]Progression(L-Triangle, cheap turnover)❌",0,,00:53:00,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,34.810203301389265,"🔸[OP4]Low Block(LTriangle, switch)✅",0,,00:53:24,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,34.96027648127529,🔸[OP3b]Mid Block(compact & proactive)✅⭐️,0,,00:54:03,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,40.05825648935934,"🔸[OP2]High Press(long ball, 1st contact won, sloppy 2nd ball, shot conceded)❌",0,,00:54:41,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,19.90012499167733,"🔹[IP1b]GK Restart(through, to the LW)✅",0,,00:55:20,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,13.940098454138933,"🔹[IP3b]Progression(RCB into the RW, turnover)❌",0,,00:55:39,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,10.66007376878133,"🔹🔸Defensive transition(C.-press, quick regain)✅⭐️",0,,00:55:49,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,15.860124066156459,"🔹[IP3a]Progression(LCB → IB to 9, offside)🚧",0,,00:56:03,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,48.2903121970694,"🔹[IP3b]Progression(RTriangle, cross)✅✅⚽️",0,,00:25:44,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,12.970060653976361,🔸[DSP] Kick-off🚧,0,,00:24:52,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,17.550085326201042,"🔹[IP3a]Progression(R-triangle, space too tight)❌",0,,00:25:17,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,32.74016704375026,"🔹[IP4]Attacking Phase(R-Triangle, switch, LCB IB to the 9)🚧",0,,00:26:09,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,13.330058216040925,"🔸[OP1b]GK Restart(OS, long, block, regain)✅",0,,00:26:28,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,25.360172820922344,"🔹[IP4]Attacking Phase(inside pin, feed LW, turnover)❌",0,,00:26:34,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,19.78012991970718,"🔹🔸Defensive transition(C.-press, quick regain)✅",0,,00:26:34,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,25.49016236433234,15.870010456589622,"🔹[IP4]Attacking Phase(RSide, ball out)🚧",0,,00:26:34,2,,,,
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,18.140106073527022,"🔹[OSP] Throw-in(R, high, long, 1st contact, setup?)🚧",0,,00:27:42,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,12.051971532324387,"🔸[DSP] Throw-in(R, deep, quick regain)✅",0,,00:21:22,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,9.950070119383781,"🔹[OSP] Free kick(R, deep, 1st contact, setup?)🚧",0,,00:20:49,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,15.690087783822491,"🔸[OP1b]GK Restart(quick restart, IB, on the edge)✅⚠️",0,,00:20:56,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,22.91013016197394,🔹[IP3b]Progression(R-triangle)✅⭐️,0,,00:21:27,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,20.080122234987357,🔹[IP4]Attacking Phase(LCB into the 9)❌,0,,00:21:48,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,23.520132295968324,"🔸🔹Offensive transition(IB, turnover)❌",0,,00:18:48,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,14.382361389060861,"🔹[IP4]Attacking Phase(RCB steps in, pass IB deflected)🚧",0,,00:17:26,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,22.3467143986245,"🔹[OSP] Throw-in(R, high, long, setup?)🚧",0,,00:17:59,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,23.74015180011793,"🔸[OP1b]GK Restart(OS, short around, ball out)✅",0,,00:18:20,2,,,,.
