Timeline,Start time,Duration,Row,Instance number,<flag>.,✅,✅✅,❌❌,⭐️,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,77.53300142605258,"🔸[OP4]Low Block(compact, patience)✅⭐️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,20.932173659365617,"🔹[IP1b]GK Restart(8"", switch)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,19.15011734021664,"🔹[IP2]Low Build-up(long, 2nd ball)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,82.53125702710986,"🔸[OP4]Low Block(compact, patience)✅⭐️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,19.23011459648933,"🔹[IP1a]GK Restart(OS, Front3, 2nd ball)✅✅⚽️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,10.84392241286605,"🔹[OSP] Throw-in(R, long)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,13.199961903344956,"🔹[OSP] Throw-in(R, long)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.0157286173162,"🔹[IP2]Low Build-up(long, 2nd ball, off side)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,28.331300830933287,"🔹[OSP] Free kick(deep, 2 crosses)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,27.39572427008534,"🔹[IP1a]GK Restart(OS, Front3, 2nd ball)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,22.95016602352007,"🔹[IP1a]GK Restart(OS, Front3, 2nd ball)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,21.281178096230178,🔹[OSP] Free kick(deep)❌,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,26.980132904640413,"🔸[OP4]Low Block(LTriangle, cross)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,25.070141926980796,"🔹[IP1b]GK Restart(8"", long, 2nd ball)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,20.639981123866164,🔹🔸Defensive transition(low turnover)❌❌🏈,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,28.90940760541889,"🔹[IP1b]GK Restart(8"", long, 2nd ball)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,24.81235745059712,"🔹[OSP] Throw-in(R, long, 2 phases)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,21.87796570995124,🔸[DSP] Corner(L)🚧,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,13.960060051057553,🔸[DSP] Corner(R)🚧,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,14.280084114926467,🔹[IP1a]GK Restart(HBlock)❌,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,23.770150579659457,"🔸🔹Offensive transition(counter-attack, 1v1 GK)✅✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,21.580116120148887,"🔹[IP1b]GK Restart(8"", long, turnover)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,20.57525543900556,"🔸[DSP] Corner(L, 2 phases)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,28.852704073258792,"🔹[IP1a]GK Restart(Hblock, 2nd ball)✅",0,,,,,,,,,,,,,.
