Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅,✅✅,❌,❌❌,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Counter-attack,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
260228_Bournemouth_Sunderland_ANALYST,0.0,17.780122237101295,"🔹[IP1b]GK Restart(OS, quick, RB)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,17.570094189016345,"🔹[IP3b]Progression(under pressure, overload creation? IB)❌🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,14.690066460867001,"🔸[OP3b]Mid Block(IB, well controlled)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,21.26010881961838,"🔸[DSP] Throw-in(R, HZ, long, 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,22.888647720558765,"🔹[OSP] Throw-in(R, DZ, flip the pressure)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,31.033531393321027,"🔹[OSP] Throw-in(R, DZ, flip the pressure)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,32.7516060660073,🔸[OP3b]Mid Block(good press)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,10.130047549918345,"🔹[IP2]Low Build-up(OS, long under pressure, foul won)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.544798071568948,"🔹[IP2]Low Build-up(under pressure, no time)❌🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,16.150115831294897,"🔹[OSP] Throw-in(R, MZ, pattern?)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,16.03916220685278,"🔹[OSP] Throw-in(R, MZ, pattern?)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,36.873275913307225,"🔹[OSP] Throw-in(R, MZ, pattern? 2nd ball game)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.005659151705913,"🔹[IP2]Low Build-up(OS, long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.00998896024612,"🔹[OSP] Throw-in(L, MZ, into the 9, support, switch)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.550146338102422,"🔹[IP4]Attacking Phase5RSide, Give & Go)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,24.410316160114235,"🔸[OP1a]GK Restart(OS, short, Red card?)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,26.55086973499965,"🔸[OP3b]Mid Block(RSide, opportunity to CAttack)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,19.845613856760792,🔸[OP2]High Press(high regain)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,12.340063397108679,"🔸🔹Offensive transition(high regain, 9 alone)❌",0,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,27.64355658623026,"🔸[OP3b]Mid Block(10 behind our midfielders, RTriangle, cross)🚧🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,14.32828979822807,"🔹[IP1a]GK Restart(HBlock, throw-in)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,21.71083742443261,"🔹[OSP] Throw-in(R, MZ, into the 9, switch)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,21.214602670555905,"🔸[OP1a]GK Restart(OS, around, long, 2nd ball lost, foul)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,32.5,"🔸[OP4]Low Block(sitch RSide, early cross, back post)❌❌🏈",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,18.201235167266532,"🔸[OP1b]GK Restart(OS, around, into the 9)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
