Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,❌❌,🏈,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,17.64250715932758,"🔹[OSP] Throw-in(L, HZ, 2-man)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,16.89009235146932,"🔹[OSP] Free kick(wide, L, 1st contact)✅✅",0,,,,,,,,,,,,,,,,,,✅✅,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,21.449851820570984,"🔸[OP1a]GK Restart(HBlock, 1st contact, cross, shot)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,39.98257031144931,"🔹[OSP] Corner(R, front post)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,27.92013687411236,"🔹[IP3b]Progression(IB, 2nd ball, through the 9, penalty)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,10.060047854363802,🔹[OSP] Penalty❌❌,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,13.530056697902182,"🔸[OP1b]GK Restart(long, foul)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,19.38277511985507,"🔸[DSP] Free kick(wide, R, backpost, blocks)🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,23.670138382104597,"🔹[IP3a]Progression(long to the 9, turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,22.824599800825126,"🔸[DSP] Throw-in(L, caught IB)⚠️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,21.070117032513735,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,17.82006218422248,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,9.319396825757394,"🔹[OSP] Throw-in(L, MZ, quick)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,24.22515129137355,"🔹🔸Defensive transition(cheap turnover, counter-A)❌❌🏈",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,14.250068593084507,"🔹[IP3b]Progression(through the 10, then the 9)✅✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,45.55108139467302,"🔹[OSP] Corner(R, poor delivery)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,50.640205133571726,"🔸[OP4]Low Block(LSide, 2 crosses)🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,26.04016090588084,"🔹[IP1b]GK Restart(around, to the 9, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,26.530389583593205,"🔹[OSP] Corner(L, 3-man, shot deflected)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,44.965149391966406,"🔹🔸Defensive transition(counter-A, delays)❌❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,12.152870404369423,"🔸[DSP] Corner(L, 2-man, back post)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,21.483356483894568,"🔸[DSP] Corner(R, front post, 2nd ball)❌❌🏈",0,,,,,,,,,,,,,,,,,,"❌❌, 🏈",,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,18.61011034128842,"🔸[OP2]High Press(long, 1st contact, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,20.26011643171296,"🔹[IP3b]Progression(RTriangle, cross not adjusted)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,24.94010912059821,"🔸[OP1b]GK Restart(long, big mistake, shot off the post)❌❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,41.5602916545522,"🔹[IP1a]GK Restart(spare man, to the 10)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,17.230090194383592,"🔸[OP1a]GK Restart(OS, long, 1st contact, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,26.95016461760224,"🔸[OP3b]Mid Block(poor zonal workflow, RSide exposed, cross)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,18.99919889796911,"🔸[OP1a]GK Restart(HBlock, 1st contact, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,25.601911368590663,"🔹[IP2]Low Build-up(long, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,16.80010822593249,"🔹[IP2]Low Build-up(spare man, long to the 9)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,28.17014599563572,"🔸[OP2]High Press(MFM, long, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,16.001712100672194,"🔹[OSP] Throw-in(R, DZ, no pattern)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,18.780111580304037,"🔹[IP1a]GK Restart(OS, around, CB steps in)🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,34.910201774870075,"🔸[OP2]High Press(short, then long, first contact won, no retention)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,20.76012253450517,"🔸[OP3b]Mid Block(through, IB, cross)❌⚠️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,14.280084117292063,"🔹[IP1b]GK Restart(around, turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,23.1301328845193,"🔸[OP2]High Press(MFM, long, block, cover)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,43.5059884313805,"🔹[OSP] Throw-in(L, HZ, 2-man, shot)✅✅⭐️",0,,,,,,,,,,,,,,,,,,✅✅,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,20.94008777671479,"🔹[IP2]Low Build-up(spare man, around)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,27.394914686039556,"🔹[IP3b]Progression(through, switch, high turnover)✅🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,16.19009847383586,"🔸[OP4] Low Block (R-side, structure collapsed) ❌❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,15.080081074514965,"🔹[IP1a]GK Restart(OS, long)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,18.88008565565633,"🔹[IP2]Low Build-up(long, turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,23.67011094393365,"🔸[OP2]High Press(high press, mid regain)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,12.270039319734678,"🔸[OP1a]GK Restart(HBlock, 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,10.629972869897756,"🔹[IP1a]GK Restart(HBlock, foul on the 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,15.060050908812627,"🔸[OP1a]GK Restart(HBlock, 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,.
