Timeline,Start time,Duration,Row,Instance number,<flag>.,Event,Half,Pass,Player,Team,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[OSP],Ungrouped,Notes,Flags
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,38.0,"🔹[I2a] Low Build-Up(around, IB the winger with the LFB)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,27.200123223106402,🔹[I3a] Progression(LTriangle)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,23.87811619671902,"🔹[OSP] Attacking Free Kick(L, delivery, 2 phases)🚧",0,,,,,,,,,,,,,,Left,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,18.87294856511744,"🔹[OSP] Attacking Corner(R, 2 phases)✅",0,,,,,,,,,,,,,,Right,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,25.8201200950989,"🔸[OP4] Low Block(LSide, 2 crosses)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,16.0,"🔹[I1a] GK Restarts(8”, long ball in behind winger with RFB, lack of composure)❌",0,,,,,,,,,,,,,"Short, Around",,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,27.0438195864308,🔸[OP3b] Mid Block(RSide)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,27.32578872025806,"🔹[I3b] Progression(LCB steps in, IB)✅🔎",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,29.45488141522401,🔸[OP2] High Press(long ball)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,18.125312365772515,🔸[OP3b] Mid Block(LTriangle)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,27.639973487811403,"🔹[I1a] GK Restarts(HB, 2nd ball)✅",0,,,,,,,,,,,,,Compact Shape: LONG,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,12.710084434524106,"🔹[OSP] Attacking Throw In(L, MZ)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,10.350059434596915,"🔹[I3b] Progression(through, lack of composure)❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,33.850201178323914,🔸[OP3b] Mid Block(RTRiangle)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,22.39324884178859,🔹🔸Offensive transition🚧,0,,,,,,,,,Counter Attack,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,63.34007178912543,"🔸[OP4] Low Block(LTriangle, shot-cross)✅",0,,,,,,,,,,,,,,,,,.
