Timeline,Start time,Duration,Row,Instance number,<flag>.,✅✅,❌❌,Ungrouped,Notes,Flags
Tactical_with_scoreboard,0.0,19.910122507616506,"🔸[DSP] Corner(R, 3-man)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,24.907345448360502,"🔹[IP1b]GK Restart(OS, long into the 9, turnover)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,17.262345561596703,"🔹🔸Defensive transition(CA, cross)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,25.069625489692044,"🔹[IP1a]GK Restart(OS, long, inaccuracy)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,18.080113085317862,🔹🔸Defensive transition(quick regain)✅,0,,,,,,.
Tactical_with_scoreboard,0.0,28.991606143695208,🔸🔹Offensive transition(go forward)✅,0,,,,,,.
Tactical_with_scoreboard,0.0,28.86907279814386,"🔹[IP4]Attacking Phase(sustain, iinto the 9, support)✅✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,29.402548063339054,"🔸[OP3a]High Block(LSide pair, 2 forwards, RSide cross)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,15.483288704353981,"🔸[DSP] Throw-in(R, HZ, long, shot deflected)❌⚠️",0,,,,❌❌,,.
Tactical_with_scoreboard,0.0,28.337191920931218,"🔸[DSP] Corner(L, GK zone)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,32.98093613570927,"🔹[IP1a]GK Restart(OS, quick restart, around)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,21.837934763178055,"🔸[OP1b]GK Restart(OS, quick, around)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,9.960064611914277,"🔹[OSP] Throw-in(R, MZ, inside, switch)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,44.94520633579032,"🔹[IP3b]Progression(around, into the 9)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,26.800707559005787,"🔹[IP4]Attacking Phase(into the 9, 2nd phase, cross)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,40.06375060157279,"🔹[OSP] Corner(L, back post, 2nd phase)🚧",0,,,,,,.
Tactical_with_scoreboard,0.0,37.86432357152262,🔸[OP4]Low Block(stay disciplined)🚧,0,,,,,,.
Tactical_with_scoreboard,0.0,20.065755039220676,"🔸[DSP] Corner(L, front post, marking issue)❌❌⚠️",0,,,,,,.
Tactical_with_scoreboard,0.0,12.537140851900404,"🔹[IP1a]GK Restart(HBlock, inaccuracy)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,30.085687568585854,"🔸[OP2]High Press(OS, long, 2nd ball)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,33.046940379100306,"🔸🔹Offensive transition(CA, into the 9, LW in 1v1)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,22.13849540227511,"🔹[OSP] Throw-in(L, HZ, long, poor delivery, setup?)❌",0,,,,,,.
