Timeline,Start time,Duration,Row,Instance number,0-15,15-30,30-45,45-60,60-75,75-90,<flag>Nouveau drapeau,Back 4 Line Management,DATE,Diagonal Pass,GameTime,Opposition,Period,Round,Score,Set Play Phase,Venue,🔸 [OP] Zonal Defence,🔸[OP] Box Defence,🔸[OP] Def Restart Phase,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,Ungrouped,Notes,Flags
250816_Sunderland_WestHamUnited_ANALYST,0.0,18.57011859603699,"[IP3b] Attacking (4-3-3, Numbers Recognition, LTriangle)❌",0,,,,,,,,,2O250816,,00:36:43,West Ham United,2,R1,3-0,,Home,,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,35.77011248600411,[OP4a] Low Block (5-4-1)✅,0,,,,,,,,,2O250816,,00:37:28,West Ham United,2,R1,3-0,,Home,,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,15.039939985827914,"Attacking Throw In(L, flip the pressure)✅🔎",0,,,,,,,,,2O250816,,00:38:26,West Ham United,2,R1,3-0,"Left, Def Half",Home,,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,15.65007010957379,Attacking Free Kick(L)❌,0,,,,,,,,,2O250816,,00:23:31,West Ham United,2,R1,3-0,"Left, Att Half",Home,,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,22.95011430100476,[OP1a] GK Restart - Quick Restarts(before the 2nd goal)✅🔎,0,,,,,,,,,2O250816,,00:23:46,West Ham United,2,R1,3-0,,Home,,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,42.374235088916066,"Attacking Corner(L, 2 phases)✅✅✅⚽️",0,,,,,,,,,2O250816,,00:24:38,West Ham United,2,R1,3-0,"Left, Long",Home,,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,11.15006705498854,[IP1c] GK Restarts Direct (HB)❌,0,,,,,,,,,2O250816,,00:20:23,West Ham United,2,R1,3-0,,Home,,,,,,,75-90,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,27.530167969735885,"[OP4a] Low Block (5-4-1, overload, cross, triangle)🚧",0,,,,,,,,,2O250816,,00:20:49,West Ham United,2,R1,3-0,,Home,,,,,,,75-90,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,21.72011094683421,Defending Corner(L)🚧,0,,,,,,,,,2O250816,,00:21:37,West Ham United,2,R1,3-0,Left,Home,,,,,,,75-90,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,9.53003535874086,Defending Corner(R)✅,0,,,,,,,,,2O250816,,00:22:17,West Ham United,2,R1,3-0,"Right, Long",Home,,,,,,,75-90,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,42.19015323006715,[IP1c] GK Restarts Direct (HB)❌,0,,,,,,,,,2O250816,,00:22:49,West Ham United,2,R1,3-0,,Home,,,,,,,75-90,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,43.13024413987387,"[OP4a] Low Block (5-4-1, cross, 2nd zone)🚧⚠️🔎",0,,,,,,,,,2O250816,,00:24:09,West Ham United,2,R1,3-0,,Home,,,,,,,75-90,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,18.070120087998475,[OP4a] Low Block(cross)✅,0,,,,,,,,,2O250816,,00:25:15,West Ham United,2,R1,3-0,,Home,,,,,,,75-90,,Nouveau drapeau
