Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,Event,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Player,Pourcentage,Qualite,Score final,TIME PERIOD,Team,Type action,Zone,✅✅,❌❌,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,Ungrouped,Notes,Flags
260314_Sunderland_Brighton_ANALYST,0.0,30.700540541999544,🔹[IP1b]GK Restart(HBlock)🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,26.718329538441594,🔹[OSP] Kick-off🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,15.890080168204804,"🔹[IP2]Low Build-up(OS, long)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,56.25475023305535,"🔸[OP2]High Press(OS, short, multiple phases)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,28.720664276935167,"🔹[OSP] Throw-in(R, DZ, flip the pressure)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.31942574981622,"🔹[OSP] Free kick(deep, 2-man combination)✅✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,35.10955019760104,"🔸[OP3b]Mid Block(IB, RTriangle, box unit, 2 crosses)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,35.250222279905756,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,12.355546269047409,"🔹[OSP] Free kick(deep, poor delivery)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,22.92014449709677,"🔸[OP1a]GK Restart(OS, short, mid regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,19.5,🔸🔹Offensive transition(sloppy finishing)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.937884652067623,"🔸[OP1a]GK Restart(OS, short, high regain, sloppy finishing)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,10.440080175736512,"🔸🔹Offensive transition(high regain, sloppy finishing)✅✅",0,,Brighton,Contexte,20260314,,MT 0,,Journée 29,Domicile,107,,,20%,-,0/1,100 - 110,,Toffensive,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,36.47484670906033,"🔸[OP1a]GK Restart(OS, long, clean regain, go forward)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,26.025309240359093,"🔸🔹Offensive transition(counter-attack, cross)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,54.52372458010632,"🔹[OSP] Throw-in(R, HZ, long, 3 phases)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,34.33354806986608,"🔸[OP4]Low Block(LSide, regain, sloppy turnover)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,21.13799999999992,Game management(cheap turnover)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,29.42682485064688,"🔸[DSP] Corner(L, 2 phases)❌❌🏈",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,46.88718372081712,"🔹[IP4]Attacking Phase(RTRiangle, regain, LTriangle)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
